,Simulation_Potential,Z,Density,PMF,Bootstrap_Density_Mean,Bootstrap_Density_upper,Bootstrap_Density_lower,Bootstrap_PMF_Mean,Bootstrap_PMF_upper,Bootstrap_PMF_lower
0,-0.2,-74.0,0.004117428919872616,1.9914473184047468,0.004119576681343737,0.004360426516149719,0.003876184956320128,1.991526090403307,2.0293986119779777,1.9560942018275473
1,-0.2,-72.0,0.003991268145168998,2.0106274938044617,0.003993765860864404,0.004229384615914359,0.0037650150343412035,2.0106675640790383,2.0476242237514852,1.9731259853020415
2,-0.2,-70.0,0.0037236543806461724,2.0534030250714395,0.0037202045296778436,0.003963280230288323,0.003474618229635614,2.054427125206558,2.0971816638298897,2.0138759272604094
3,-0.2,-68.0,0.004121251973651513,1.9908753171092914,0.004118013445832798,0.004366581376075076,0.0038708998066491395,1.9917591842599844,2.030092899876133,1.954514725108675
4,-0.2,-66.0,0.004044790898073563,2.00241744003229,0.004047207906751767,0.004302294272783525,0.0038072311360764937,2.002465833867156,2.039939429817654,1.9639195763565929
5,-0.2,-64.0,0.004281820232365209,1.9673183853514542,0.004284092190754932,0.004531114987862902,0.004018531521791204,1.9674023994373477,2.006022480055454,1.930966519832992
6,-0.2,-62.0,0.0040677292207469485,1.9989320508101194,0.004066858929192722,0.004317853698419967,0.0038200708400533794,1.9994746708161248,2.039997295988733,1.961348888194804
7,-0.2,-60.0,0.004094490597199231,1.9948905192684243,0.004097597649250001,0.004332485573580759,0.003849060324846138,1.994825526273953,2.0327373331154135,1.9596383021481414
8,-0.2,-58.0,0.004247412748355131,1.972291054338253,0.004251428117448049,0.004494223595305155,0.004017923150481814,1.9720976994979291,2.0083424955634817,1.9369489339955739
9,-0.2,-56.0,0.004132721134988206,1.989162491500344,0.0041352554601699325,0.004376091218456321,0.0038957798202321056,1.989184763634174,2.0254176025121104,1.9523344192024925
10,-0.2,-54.0,0.004358281307943159,1.956409581074767,0.004357385338822191,0.004615514904715624,0.004099792498268336,1.9569432774101216,1.9943184791236215,1.9204744694825813
11,-0.2,-52.0,0.004304758555038594,1.964025422834465,0.0043053797184735105,0.0045748390355616125,0.004049893235757647,1.9643481969151955,2.0026104921771757,1.9247104822852605
12,-0.2,-50.0,0.004461503759973392,1.9419824407728663,0.0044597057154968775,0.004703805651902387,0.00417429317746397,1.9426263407343665,1.9824250729966277,1.908056356140611
13,-0.2,-48.0,0.004545610943109137,1.930471673489491,0.004545438863786893,0.004797701106616408,0.0042732057406932415,1.9308971620294244,1.9696604507353836,1.8955222038498718
14,-0.2,-46.0,0.005417267204697768,1.8223490694054314,0.005419129848847078,0.005693975218718814,0.0051197853953288035,1.822485366450058,1.8574388798288337,1.790886308323479
