,Simulation_Potential,Z,Density,PMF,Bootstrap_Density_Mean,Bootstrap_Density_upper,Bootstrap_Density_lower,Bootstrap_PMF_Mean,Bootstrap_PMF_upper,Bootstrap_PMF_lower
0,-0.2,-74.0,0.004117428919872616,1.9914473184047468,0.0041148351159986125,0.004374189577419304,0.0038720399726896487,1.9921942449664198,2.0301797371278805,1.9525380763384936
1,-0.2,-72.0,0.003991268145168998,2.0106274938044617,0.003992484601033932,0.004240103407977513,0.0037623843993032165,2.0107991933053198,2.0486123152617286,1.972377422131699
2,-0.2,-70.0,0.0037236543806461724,2.0534030250714395,0.0037289128676398216,0.003956358433139629,0.003490301995142177,2.0529007201468374,2.093666070031519,2.015675174283582
3,-0.2,-68.0,0.004121251973651513,1.9908753171092914,0.004122248651256531,0.004369742122005827,0.003887465703962844,1.9910648514607678,2.028369267636374,1.9540375090428133
4,-0.2,-66.0,0.004044790898073563,2.00241744003229,0.00404149529243071,0.004284284036071808,0.0038124084723351165,2.003255885918114,2.0389079218378297,1.9655092881592446
5,-0.2,-64.0,0.004281820232365209,1.9673183853514542,0.004279321682620582,0.004521833326815635,0.00403370613962173,1.9680050968208984,2.0047853245253773,1.933159478970033
6,-0.2,-62.0,0.0040677292207469485,1.9989320508101194,0.0040649080373940044,0.004314437971233885,0.003825626185022428,1.999701253698032,2.0384940918184142,1.963311847063417
7,-0.2,-60.0,0.004094490597199231,1.9948905192684243,0.004094005199295836,0.00434288325475481,0.0038311616295882297,1.9953303294052858,2.035646712747867,1.959636986369295
8,-0.2,-58.0,0.004247412748355131,1.972291054338253,0.004246332773954517,0.0044954798853607605,0.0039967754420868916,1.9727860550435827,2.0119432795810788,1.9376613380696768
9,-0.2,-56.0,0.004132721134988206,1.989162491500344,0.004130473470602979,0.004375132642928282,0.0038809878818386093,1.9898391635192436,2.026463528953028,1.9529283087099567
10,-0.2,-54.0,0.004358281307943159,1.956409581074767,0.004350557068685802,0.004614669664165781,0.004082727223868479,1.9578587637205507,1.996757877189975,1.9216460332179903
11,-0.2,-52.0,0.004304758555038594,1.964025422834465,0.00430816611695115,0.004578713459622121,0.004063413583633154,1.9638825828334074,2.0014431528412846,1.9266272256984025
12,-0.2,-50.0,0.004461503759973392,1.9419824407728663,0.004451252996935152,0.0047171564953673115,0.004192220541493827,1.9437293851361024,1.9809402993721394,1.9067936011942668
13,-0.2,-48.0,0.004545610943109137,1.930471673489491,0.004546330064364003,0.004819729884098066,0.004280516789350766,1.9306902980363794,1.9680370089643404,1.8927225314409752
14,-0.2,-46.0,0.005417267204697768,1.8223490694054314,0.005417111128225123,0.005694692807250141,0.005127215440018744,1.822634699534357,1.8559570726547314,1.7899489678205804
15,-0.2,-44.0,0.006384499810758838,1.7210971283265863,0.006388677738885893,0.006699571824173073,0.0060880097974646856,1.7209394182798345,1.7518239350465934,1.691949317365209
16,-0.2,-42.0,0.00757729258977486,1.6155301628518985,0.007578318207557215,0.007931236865203282,0.0072492388510630055,1.6156590413599463,1.6442128035025687,1.587753964597698
17,-0.2,-40.0,0.011178609249496313,1.3758721167831782,0.011176944916643105,0.011596756003879261,0.010788748083615565,1.3761283677563874,1.399488831333997,1.3521652614833468
18,-0.2,-38.0,0.016347377958565744,1.1416258634965282,0.016348912986634795,0.016858009007434133,0.015818080942361996,1.1417039990634854,1.1650547278235988,1.1207318479816668
19,-0.2,-36.0,0.017968352760818287,1.0833551144378302,0.017975452593477038,0.018476407610725103,0.017469818568365762,1.083235875109225,1.101581731544014,1.0641326082109737
20,-0.2,-34.0,0.021512323613856275,0.9724068845819882,0.02150416169581807,0.022034840757159026,0.0209713908566783,0.9727492084494463,0.9903806128336589,0.9562121466874618
21,-0.2,-32.0,0.029502506011752066,0.7777390912569062,0.029527393671971942,0.030130753943531912,0.028922161257551995,0.7773122220954605,0.7928898709978742,0.7621903724278221
22,-0.2,-30.0,0.05647415042187399,0.3775503314044435,0.05647439062607145,0.057371852109809954,0.05562578927966412,0.3776251317002505,0.3894839296255775,0.365453143995891
23,-0.2,-28.0,0.08404983732906171,0.13248040321133803,0.08403693218075853,0.08502780786043854,0.08300516422565254,0.1326445868028889,0.143738195120935,0.12161493364831603
24,-0.2,-26.0,0.08983794075031254,0.09143429795095792,0.089876414992951,0.09101534443939456,0.08879185778500312,0.09123988856084422,0.10158937246856098,0.08043824316705284
25,-0.2,-24.0,0.09564898249423674,0.05280408540073811,0.09564478281099759,0.09669012333875131,0.09441978894803696,0.052900623004365384,0.06381880388871308,0.042202357999934256
26,-0.2,-22.0,0.10420497685140936,0.0,0.1042163902173586,0.10535791331518156,0.10309124440449868,0.0,0.0,0.0
27,-0.2,-20.0,0.08721914891176774,0.10966752690596993,0.08718285302474273,0.08820859155218667,0.0860947799279466,0.10999385092121987,0.12019221133265678,0.0994723170044426
28,-0.2,-18.0,0.04190449247049558,0.5614574303199502,0.04191510412313798,0.04269705813147878,0.04115102382403503,0.5613867342958072,0.5751805696928437,0.5475550025336121
